dev_id,datetime,battery,peopleCount,nonNegPeopleCount
dc500-3a9e,2023-07-12 06:00:00,3.64,0,0.0
dc500-3a9e,2023-09-25 23:00:00,3.64,0,0.0
dc500-3a9e,2023-09-26 01:00:00,3.64,500,500.0
dc500-3a9e,2023-09-27 00:00:00,3.64,558,58.0
dc500-3a9e,2023-10-05 01:00:00,3.62,0,0.0
dc500-3a9e,2023-10-05 03:00:00,3.63,6,6.0
dc500-3a9e,2023-10-05 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 15:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-10 17:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 18:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 19:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 21:00:00,3.63,6,0.0
dc500-3a9e,2023-10-10 22:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-11 18:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 19:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 21:00:00,3.63,6,0.0
dc500-3a9e,2023-10-11 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-12 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-13 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-16 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-18 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-19 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-19 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-20 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-21 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-22 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-23 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-24 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-24 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-24 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-24 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-25 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-26 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 16:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-27 18:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 19:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 20:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 21:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 22:00:00,3.63,6,0.0
dc500-3a9e,2023-10-27 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-28 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-29 23:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 00:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 01:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 02:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 03:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 04:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 05:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 06:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 07:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 08:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 09:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 10:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 11:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 12:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 13:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 14:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 15:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 16:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 17:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 18:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 19:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 20:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 21:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 22:00:00,3.64,6,0.0
dc500-3a9e,2023-10-30 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-01 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-02 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-03 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-04 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-05 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 19:00:00,3.63,6,0.0
dc500-3a9e,2023-11-06 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-06 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-07 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-07 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-07 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 01:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 02:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 12:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 13:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 14:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 15:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 16:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 17:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 18:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 19:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 20:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 21:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 22:00:00,3.64,6,0.0
dc500-3a9e,2023-11-08 23:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 00:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 03:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 04:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 05:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 06:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 07:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 08:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 09:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 10:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 11:00:00,3.64,6,0.0
dc500-3a9e,2023-11-09 12:00:00,3.64,6,0.0
